timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,URL,Latency
1.45997E+12,9,Home Page,200,OK,JMeter Users 1-1,text,TRUE,2016,1,1,http://192.168.99.100:8000/login/,3
1.45997E+12,11,Changes,200,OK,JMeter Users 1-1,text,TRUE,2004,1,1,http://192.168.99.100:8000/login/,3
1.45997E+12,34,Home Page,200,OK,JMeter Users 1-2,text,TRUE,2016,2,2,http://192.168.99.100:8000/login/,5
1.45997E+12,36,Changes,200,OK,JMeter Users 1-2,text,TRUE,2004,2,2,http://192.168.99.100:8000/login/,9
1.45997E+12,97,Login,200,OK,JMeter Users 1-1,text,TRUE,3830,2,2,http://192.168.99.100:8000/,54
1.45997E+12,9,Home Page,200,OK,JMeter Users 1-3,text,TRUE,2016,3,3,http://192.168.99.100:8000/login/,3
1.45997E+12,41,Changes,200,OK,JMeter Users 1-3,text,TRUE,2004,4,4,http://192.168.99.100:8000/login/,5
1.45997E+12,45,Home Page,200,OK,JMeter Users 1-4,text,TRUE,2016,4,4,http://192.168.99.100:8000/login/,14
1.45997E+12,112,Home Page,200,OK,JMeter Users 1-1,text,TRUE,3992,5,5,http://192.168.99.100:8000/,3
1.45997E+12,34,Home Page,200,OK,JMeter Users 1-5,text,TRUE,2016,5,5,http://192.168.99.100:8000/login/,7
1.45997E+12,164,Login,200,OK,JMeter Users 1-2,text,TRUE,3830,5,5,http://192.168.99.100:8000/,103
1.45997E+12,49,Changes,200,OK,JMeter Users 1-4,text,TRUE,2004,6,6,http://192.168.99.100:8000/login/,7
1.45997E+12,176,Login,200,OK,JMeter Users 1-3,text,TRUE,3830,6,6,http://192.168.99.100:8000/,106
1.45997E+12,92,Home Page,200,OK,JMeter Users 1-2,text,TRUE,3992,6,6,http://192.168.99.100:8000/,9
1.45997E+12,97,Changes,200,OK,JMeter Users 1-1,text,TRUE,4145,6,6,http://192.168.99.100:8000/catpost/2,94
1.45997E+12,112,Changes,200,OK,JMeter Users 1-5,text,TRUE,2004,6,6,http://192.168.99.100:8000/login/,36
1.45997E+12,79,Home Page,200,OK,JMeter Users 1-6,text,TRUE,2016,6,6,http://192.168.99.100:8000/login/,19
1.45997E+12,140,Changes,200,OK,JMeter Users 1-2,text,TRUE,4145,7,7,http://192.168.99.100:8000/catpost/2,140
1.45997E+12,177,Home Page,200,OK,JMeter Users 1-3,text,TRUE,3992,8,8,http://192.168.99.100:8000/,23
1.45997E+12,125,Login,200,OK,JMeter Users 1-1,text,TRUE,3739,8,8,http://192.168.99.100:8000/,20
1.45997E+12,132,Changes,200,OK,JMeter Users 1-6,text,TRUE,2004,8,8,http://192.168.99.100:8000/login/,22
1.45997E+12,140,Home Page,200,OK,JMeter Users 1-7,text,TRUE,2016,8,8,http://192.168.99.100:8000/login/,20
1.45997E+12,99,Home Page,200,OK,JMeter Users 1-8,text,TRUE,2016,9,9,http://192.168.99.100:8000/login/,27
1.45997E+12,136,Login,200,OK,JMeter Users 1-2,text,TRUE,3739,9,9,http://192.168.99.100:8000/,30
1.45997E+12,123,Changes,200,OK,JMeter Users 1-7,text,TRUE,2004,9,9,http://192.168.99.100:8000/login/,48
1.45997E+12,168,Changes,200,OK,JMeter Users 1-3,text,TRUE,4145,9,9,http://192.168.99.100:8000/catpost/2,168
1.45997E+12,339,Login,200,OK,JMeter Users 1-5,text,TRUE,3830,10,10,http://192.168.99.100:8000/,167
1.45997E+12,410,Login,200,OK,JMeter Users 1-4,text,TRUE,3830,10,10,http://192.168.99.100:8000/,223
1.45997E+12,169,Home Page,200,OK,JMeter Users 1-9,text,TRUE,2016,10,10,http://192.168.99.100:8000/login/,79
1.45997E+12,235,Home Page,200,OK,JMeter Users 1-1,text,TRUE,3992,10,10,http://192.168.99.100:8000/,39
1.45997E+12,72,Home Page,200,OK,JMeter Users 1-10,text,TRUE,2016,10,10,http://192.168.99.100:8000/login/,46
1.45997E+12,137,Changes,200,OK,JMeter Users 1-8,text,TRUE,2004,10,10,http://192.168.99.100:8000/login/,58
1.45997E+12,277,Login,200,OK,JMeter Users 1-6,text,TRUE,3830,10,10,http://192.168.99.100:8000/,221
1.45997E+12,179,Home Page,200,OK,JMeter Users 1-2,text,TRUE,3992,10,10,http://192.168.99.100:8000/,79
1.45997E+12,179,Changes,200,OK,JMeter Users 1-2,text,TRUE,4145,10,10,http://192.168.99.100:8000/catpost/2,174
1.45997E+12,198,Changes,200,OK,JMeter Users 1-1,text,TRUE,4145,10,10,http://192.168.99.100:8000/catpost/2,172
1.45997E+12,217,Login,200,OK,JMeter Users 1-3,text,TRUE,3739,10,10,http://192.168.99.100:8000/,14
1.45997E+12,211,Changes,200,OK,JMeter Users 1-9,text,TRUE,2004,10,10,http://192.168.99.100:8000/login/,21
1.45997E+12,235,Changes,200,OK,JMeter Users 1-10,text,TRUE,2004,10,10,http://192.168.99.100:8000/login/,33
1.45997E+12,303,Login,200,OK,JMeter Users 1-7,text,TRUE,3830,10,10,http://192.168.99.100:8000/,166
